tweet,clean_tweet
"Top News Koran Rakyat Merdeka

Kepala BIN: IKN Jawab Panggilan Sejarah 
Indonesia Sentris Kini Di Depan Mata

#Nusantara #IKN #IbuKotaNegara #IbukotaBaru #IbuKotaNegaraBaru #RakyatMerdeka #RMid 
 https://t.co/5k1eUTBzjM",top news koran rakyat merdeka kepala bin ikn panggil sejarah indonesia sentris mata
"Alasan Pindah ibu kota negara
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/BkijHPyTjw",alas pindah kota negara
"Alasan Pindah ibu kota negara
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/JWe2ncq4fO",alas pindah kota negara
"Alasan Pindah ibu kota negara
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/aN80ofHfEq",alas pindah kota negara
"Alasan Pindah ibu kota negara
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/eCGyAMVHYu",alas pindah kota negara
"Alasan Pindah ibu kota negara
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/ksYf6kSiyh",alas pindah kota negara
"5 Alasan Pindah Ibu Kota Negara, Pemindahan Ibu Kota Negara (IKN) dari Jakarta Ke Kalimantan Timur akan segera dilakukan.
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/0Ig9fHQqyn",alas pindah kota negara pindah kota negara ikn jakarta kalimantan timur
"Mahasiswa mendukung pemindahan IKN ke Kalimantan
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/Rk6KNXOxIf",mahasiswa dukung pindah ikn kalimantan
"Masyarakat Indonesia mendukung pemindahan IKN
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/FqIaTYkpFY",masyarakat indonesia dukung pindah ikn
"Pemuda Pancasila mendukung pemindahan IKN
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/p6ZQoXaOen",pemuda pancasila dukung pindah ikn
