Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.9099999999999999,0.31,0.3309946779202233
75% Corpus,8,0.9099999999999999,0.61,0.35119952132819143
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.39072210357229253
75% Corpus,8,0.9099999999999999,symmetric,0.3347323788749841
75% Corpus,8,symmetric,0.01,0.3680756640032365
75% Corpus,8,symmetric,0.31,0.38862291797466464
75% Corpus,8,symmetric,0.61,0.33497249461845163
75% Corpus,8,symmetric,0.9099999999999999,0.3466508192584219
75% Corpus,8,symmetric,symmetric,0.3954573635714258
75% Corpus,8,asymmetric,0.01,0.3956675057138882
75% Corpus,8,asymmetric,0.31,0.39766986157710105
75% Corpus,8,asymmetric,0.61,0.3901964770413682
75% Corpus,8,asymmetric,0.9099999999999999,0.42221683980166014
75% Corpus,8,asymmetric,symmetric,0.4246236909594083
75% Corpus,9,0.01,0.01,0.3925710504455429
75% Corpus,9,0.01,0.31,0.3618642953783281
75% Corpus,9,0.01,0.61,0.3644282845522949
75% Corpus,9,0.01,0.9099999999999999,0.36775166456686365
75% Corpus,9,0.01,symmetric,0.3713340797594529
75% Corpus,9,0.31,0.01,0.363576608488192
75% Corpus,9,0.31,0.31,0.3610968174497785
75% Corpus,9,0.31,0.61,0.35096030104891146
75% Corpus,9,0.31,0.9099999999999999,0.35362321654422857
75% Corpus,9,0.31,symmetric,0.3596806585291896
75% Corpus,9,0.61,0.01,0.36657443173867477
75% Corpus,9,0.61,0.31,0.3584031085871955
75% Corpus,9,0.61,0.61,0.3682046628564773
75% Corpus,9,0.61,0.9099999999999999,0.4140062523013588
75% Corpus,9,0.61,symmetric,0.35656814702393325
75% Corpus,9,0.9099999999999999,0.01,0.39034195212074163
75% Corpus,9,0.9099999999999999,0.31,0.3212987035816446
75% Corpus,9,0.9099999999999999,0.61,0.44836283273886035
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4045998548889956
75% Corpus,9,0.9099999999999999,symmetric,0.3349579876627689
75% Corpus,9,symmetric,0.01,0.39663197567533015
75% Corpus,9,symmetric,0.31,0.3812320501341636
75% Corpus,9,symmetric,0.61,0.3692276812594233
75% Corpus,9,symmetric,0.9099999999999999,0.3616398401538969
75% Corpus,9,symmetric,symmetric,0.3867577243097796
75% Corpus,9,asymmetric,0.01,0.3390564659691647
75% Corpus,9,asymmetric,0.31,0.3785670606514674
75% Corpus,9,asymmetric,0.61,0.4199091225026064
75% Corpus,9,asymmetric,0.9099999999999999,0.3998648300589387
75% Corpus,9,asymmetric,symmetric,0.34202686959627393
75% Corpus,10,0.01,0.01,0.3392263427624155
75% Corpus,10,0.01,0.31,0.3555313023758624
75% Corpus,10,0.01,0.61,0.3666861527108685
75% Corpus,10,0.01,0.9099999999999999,0.4051017404821102
75% Corpus,10,0.01,symmetric,0.36051732545070464
75% Corpus,10,0.31,0.01,0.2817744267244737
75% Corpus,10,0.31,0.31,0.40607616423384096
